ID	PALABRA	SIGNIFICADO	ORACION EN CUICATECO	ORACION EN ESPAÑOL	TRANSCRIPCIÓN		
78			í'sen chindoì yàku	ellos entraron a la iglesia	iḭ4se3ntʃi2ndoi21ʝa1ku̻		
79			úu chìí bà'á	yo pinté la casa	ʔu4 chi2i3 ba1ʔa1ˈ		
80			níì' chinun núni	usted sembró frijol	niḭ31tʃi2nu2nnu2ni2		
81			sáko dìs ntiño no jingò	él trabajó en la milpa	sa4ko43 di1s nti2ɲo2 no2 xĩ3ngo̰1		
82			ìkò' nàndáì síyá	él hizo la silla (resp)	ḭ1koˀ1 na1ndai41 si4ja4		
83			táko ndátá ínù serbijeta	ella bordó tres servilletas	ta3ˌkoʰ4nða3ta3i4nu1se1rβi1je2taʰ2		
84			snsun nàkwén nàmí	Nosotros (exc) construimos la barda	nsuː3 na1kʷe4 na1mi4		
85			nsèn kandé kostál	ustedes cargaron los costales	nse2 ka2nde3n ko1sta3l		
86			nsun chen bà tá Álisía	nosotros (exc) comimos en casa de Alicia	nsu2ntʃe3nβa1ta4li3sja3		
87			ù káù nunyàdi	nosotros (incl) compramos los refrescos	uː1kau41nu1nʝa1ði2		
88			nsé kàndèn kòstál	ustedes cargaron los costales	nse3ka1nðe1nko1stal4		
89			sasèn chikas non	ellos cortaron la leña	sa2sḛ1ntʃi2ka2snõː2		
90			ú chìka poón ta'sé	yo le pedí pan a ellas	uˀ4tʃi1ka2põ23ta2seeʰ3		
91			tàsè' nadàtun neen	ellas cocinaron el mole	ta1sḛ2na2nda̰1tũ2nẽː2		
92			isen nani chinyàkù	ellos abrieron la puerta de la iglesia	i2se2nna̰2nḭ2ʧĩ1nʝa1ku̥		
93			na ba'ǎ íñu dichèt tulí'	bajo el gavilán y se comió el pollito/ por abajo el gavilan se comió el pollito	na2βa2ˀa13i3ɲu2ði2tʃḛ1ttu2lḭˀ3		
94			di kadiě toskachika kueté	Tú me gritaste cuando estaba en el campo	ði3ka21ðie14to2ʃka1tʃi2ka3kʷe3te3		
95			José ndichìs dí no bíkù	José te vio en la fiesta	ho2se4nði2tʃi1sði3no2βi3ku1		
96			Juán yabès ní' non íbà'	Juan lo saludó (a usted) en la plaza	xwã3nʝa2βe1sniḭ31no2ni3βa1		
97			Felipé nis recibir nì' to snòn ño'	Felipe lo recibió cuando llegó al pueblo (3 respeto)	Felipé nis recibir nì' to snòn ño'		
98			manuél kas tulí' mán kanét chibà'à	Manuel compró un pollito él(pollito) está en el patió	ma2nue4lnka2stu2lĩ4mã3nka3ne4ttʃi2βa̰ː1		
99			Ramón nes tákò'	Ramón la quiere a ella	ra1mo5ne2sta3ko̰1		
100			Tá Amalia ndichita uuu yakù	Amalia nos vio en la iglesia INCL	ta3ma2lia21ndi4tʃi1tnuː2 nja2ku̻1		
101			Tá Paúla ndichit uuu  ndòvà'	Paula nos vio en Oaxaca (incl)	ta2pau3la2nditʃiteuːːndo1βa̰1		
102			Julió  kó'ós sa'sén	Julio le pegó a ellos	xu3lio4nko̰ˀo1ssa2seˀe3		
103			Juan kás nínúñèn	Juan te compró maíz/ Juan compró tu maíz	xua42nkasninuɲen2		
104			Láyó tes ndajibán nsun	Layo nos dio guayabas (excl)	la3ʝo3nte2snda2xi2βa3nnsũ1		
105			Álicia chìkàt yúntùn nsen	Alicia les pidió las sillas a ustedes	a3li2sia2ntʃi1ka1tʝu3ntu1nnsẽeʰ		
106			Tá María kata nyadi jie'e sa'sén	María le compró refrescos a ellos (hombres)	tamaɾiankatⁱnʝadiʰxie'eskatinʝaðiʝeˀeʰsasḛ		
107			Marion tumnes machete sa'sén	Mario le prestó un machete a ellos	máɾióntumnesmaʧetesaseˀ		
108			tútò'ò achet ú kó ninù ìtì	La gallina ya comió, yo le di de comer a ella /la gallina ya comió, yo le di maíz a ella	tu3to1naʧetu3koː14ni2nu1i1ti1		
109			Jorge ndikus chivo ka ikó'ó	Jorge le vendió el chivo a él (3a de respeto)	ho2rxe3n͡di2ku2s ʧi2βo2kai1koʰ3		
110			Pedrón ndíchìs sako'ò nobakián	Pedro lo vio en el palacio municipal	pe2dro3nði3ʧi1sa1ko1ˀno1βa1kiə1		
111			Tomás ne kǒs nàtà tákò'ò	Tomás le regaló flores a ella	to1ma3snkoˑ12sna1nta1ta̰1ko3		
112			nsun chánun ndin jíkù	nosotros corrimos hasta el río	nsu2nʧa4nu2nd̥inxi3kṵ1		
113			Nsen chìsnén yojen Ngùyùgù	Ustedes que estan en México	nseː2nʧi1sne3nyo2xenɣu1yu1ɣu1		
114			Ta Anan  dikut yudu kan	Ana le vendió el caballo a usted	taʔanandikutʝuðuʔukan		
115			Ta Anan chikata yundu	Ana me pidió tortillas	taʔananʧikatjunðu		
116			Tá Franscísca kòt nuní̀ sakó	Francisca le dio agua a él	ta3fra2nsi3ska2nko1tnunisakoʰ		
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
