ID	PALABRA	NOTAS TRADUCTOR	ORACION EN CUICATECO	ORACION EN ESPAÑOL	NOTAS ORIGINAL	ESPAÑOL ORIGINAL		
			Ñoo min ña'a nuku mu'u 	Ese pueblo está lejos de aquí 		El pueblo está lejos de aquí.		
29.			¿A ña'a ñoom?	¿Está lejos el pueblo?		¿Está lejos el pueblo?		
30.			Fom kanes Jibaku 	Juan está en Cuicatlán 		Juan está ahora en Huamantla.		
31.			¿A ti kane Fom mniñu?	¿Dónde está Juan ahora?		¿Dónde está Juan ahora?		
32.			¿A kanés Jibaku?	¿Está en Cuicatlán?		¿Ahora está en Huamantla?		
33.				¿En Huamantla es donde está?		¿En Huamantla es donde está?		
34.		(sujeto masculino)	¿A iku chi kenés Jibaku?	¿Ayer estaba en Cuicatlán?		Ayer Juan estuvo en Huamantla?		
35.			¿A ti che'èd* iku ?	¿A dónde fuiste ayer?		¿Dónde estuvo Juan ayer?		
36.			¿A ti kane chidad?	¿Dónde está tu papá?		¿Dónde está tu papá?		
37.			¿A kanu chidad ba'a?	¿Tu papá está en la casa?		¿Tu papá está en la casa?		
			¿A gua kanu chidad ba'a?	¿Tu papá no está en la casa?		¿Tu papá no está en la casa?		
38.			Kanu chida ba'a	Mi papá está en la casa.		Mi papá está en la casa.		
			Chidan guay ba'a	Mi papá no está en la casa.		Mi papá no está en la casa.		
39.			Kanu kuedama chida ba'a	Mi papá siempre está en la casa.		Mi papá siempre está en la casa.		
40.			Chidan kanuñ bö jingö	Mi papá está en la milpa.		Mi papá está en la milpa.		
			Chida kaneñ no n'iba 	Mi papá está en el mercado.		Mi papá está en el mercado.		
			Chida kue'eñ chin jíku	Mi papá está en el río.		Mi papá está en el río.		
41.			Chidan kaneñ nuku kambo ñe'eñ	Mi papá está con su compadre		Mi papá está con Don Manuel.		
42.			¿Nuku du'u kane chidad?	¿Con quién está tu papá?		¿Con quién está tu papá?		
43.			¿A kanú chidad?	¿Está tu papá?	(dicho fuera de la casa)	¿Está tu papá? (dicho fuera de la casa)		
44.			¿A ti kane kutum?	¿Dónde está la olla?		¿Dónde está la olla?		
			¿A ti kane machetem?	¿Dónde está el machete?		¿Dónde está el machete?		
45.			Kutum kane nioo	La olla está en el suelo.		La olla está en el suelo.		
			Machetem kane nioo	El machete está en el suelo.		El machete está en el suelo.		
			Kutum kane ku ko'o ba'a mi	La olla está en ese rincón.		La olla está en ese rincón.		
			Machetem kane ku ko'o ba'a mi	El machete está en ese rincón.		El machete está en ese rincón.		
46.			Kutum kane nuku chéam 	La olla está con el comal		La olla está junto al comal.		
47.			¿A ti kane yanam	¿Dónde está el perro?		¿Dónde está el perro?		
48.			Kane kuch ba'a	Está fuera de la casa.		Está fuera de la casa.		
			Kane chete ba'a	Está dentro de la casa.		Está dentro de la casa.		
49.			¿A ti kane yákum?	¿Dónde está la iglesia?		¿Dónde está la iglesia?		
			¿A ti kane n'íba?	¿Dónde está el mercado?		¿Dónde está el mercado?		
			¿A ti kane bakud?	¿Dónde está tu casa?		¿Dónde está tu casa?		
50.			Yáku kane nano ba'a mi	La iglesia está enfrente de aquella casa.		La iglesia está enfrente de aquella casa.		
51.			Ku laka kane yáku	Por allá está la iglesia 		La iglesia está más adelante.		
52.			¿A ti kane 	¿Dónde está el corral de las chivas?		¿Dónde está el corral de las chivas?		
53.				El corral de las chivas está atrás de la casa.		El corral de las chivas está atrás de la casa.		
				El corral está adelante de la casa.		El corral está adelante de la casa.		
				El coral está junto a la casa.		El coral está junto a la casa.		
54.				La ropa está en el baúl.		La ropa está en el baúl.		
55.		(ya los puso a cocer)	Na chinu núnim ni'ö	Ya puse los frijoles.		Los frijoles están en la olla.		
56.			Yada kon kanut no ti'ö ko	Ese pájaro está en ese árbol 		El pájaro está en ese árbol		
57.			Jo'ó yàaku ú	Me pican los mosquitos 		La mosca está en la pared.		
58.				Los perros están alrededor de la lumbre.		Los perros están alrededor de la lumbre.		
59.			¿A tabea yana bea ñe'ed?	¿Cuántos perros tienes?		¿Cuántos perros tienes?		
60.			Un bea ama yana ñe'ë	Tengo un perro.		Tengo un perro.		
			Bea ama yana ñe'ed	Tienes un perro.		Tienes un perro.		
			Bea ama yana ñe'es	El tiene un perro.		El tiene un perro.		
			Bea ama yana ñu'uu	Tenemos un perro.	(exclusivo)	Tenemos un perro. (exclusivo)		
			Bea ama yana ñe'en 	Tenemos un perro.	(inclusivo)	Tenemos un perro. (inclusivo)		
			Bea ama yana ñe'en	Ustedes tienen un perro.		Ustedes tienen un perro.		
			Insë bea ama yana ñe'en	Ustedes tienen un perro.		Ustedes tienen un perro.		
			Bea ama yana ñe'e insë	Ustedes tienen un perro.		Ustedes tienen un perro.		
			Bea ama yana ñe'eñ	Ellos tienen un perro.		Ellos tienen un perro.		
			Iñsé bea ama yana ñe'eñ	Ellos tienen un perro.		Ellos tienen un perro.		
			Bea ama yana ñe'e iñsé	Ellos tienen un perro.		Ellos tienen un perro.		
			Un bea obe yana ñe'ë	Tengo dos perros.		Tengo dos perros.		
			Bea obe yana ñe'ed	Tienes dos perros.		Tienes dos perros.		
			Bea obe yana ñe'es	El tiene dos perros.		El tiene dos perros.		
			Bea obe yana ñe'es	El tiene dos perros.		El tiene dos perros.		
			Bea obe yana ñe'en	Tenemos dos perros.	(exclusivo)	Tenemos dos perros. (exclusivo)		
			Bea obe yana ñu'uu	Tenemos dos perros.	(inclusivo)	Tenemos dos perros. (inclusivo)		
			Insú bea obe yana ñe'en	Tenemos dos perros.	(inclusivo)	Tenemos dos perros. (inclusivo)		
			Insë bea obe yana ñe'en	Ustedes tienen dos perros.		Ustedes tienen dos perros.		
			Iñsé bea obe yana ñe'eñ	Ellos tienen dos perros.		Ellos tienen dos perros.		
61.		 (ñe'e indica posición, se puede decir que estaba es igual a tener)	Tochi kane yuudum ñe'e	Cuanto estaba mi caballo	(pero lo vendí).	Tenía un caballo (pero lo vendí).		
62.			Noyo* chi kuchi kua ama yúduu	El año que viene voy a tener un caballo.		El año que viene voy a tener un caballo.		
63.			Gua yana ñe'ë	No tengo perro.		No tengo perro.		
64.			Gua ni ama kadi ñe'ë	No tengo ninguna moneda.		No tengo ninguna moneda.		
65.			Gua nuni chi ku'ú	Tengo agua para tomar.		Tengo agua para tomar.		
66.			¿Dae nád tò?	¿Qué tienes ahí?	(señalando el bolsillo o un costal)	¿Qué tienes ahí? (señalando el bolsillo o un costal)		
67.			Du'u ná machetem?	¿Quién tiene el machete?		¿Quién tiene el machete?		
68.			Ú ná*	Yo lo tengo.		Yo lo tengo.		
69.				El maíz tiene gorgojo.		El maíz tiene gorgojo.		
70.			Bea nduk* da'a yana	Los perros tienen cola.		Los perros tienen cola.		
71.			¿A bea nduk da'a yana?	¿Tienen cola los perros?		¿Tienen cola los perros?		
72.				¿Acaso no tienen cola los perros?		¿Acaso no tienen cola los perros?		
73.			Chíy nduk da'a yana ñe'ë	Le cortaron la cola a mi perro		Mi perro no tiene cola.		
74.			Gua chimba'a ba'a ko	Esa casa no tiene puerta.		Esa casa no tiene puerta.		
75.			Kutea* duytï Fo	Ya no tiene mucho cabello		Juan tiene poco pelo.		
			Yeabean ndee duytï Fo	Juan tiene mucho pelo.		Juan tiene mucho pelo.		
76.			¿A taka duytï Fo?	¿Cómo es el pelo de Juan?		¿Cómo es el pelo de Juan?		
77.			Yudtï Fo kuä	El pelo de Juan es negro.		El pelo de Juan es negro.		
78.			Ndá machete chi tubnéd ú	Tengo el machete que me prestaste.		Tengo el machete que me prestaste.		
79.		Está aún el machete que me diste para mi.	Kane ka machete chi ted ñe'ë	Todavía tengo el machete que me regalaste.		Todavía tengo el machete que me regalaste.		
80.			No ba'a kane ama machete chi gua ñe'ë	En casa tengo un machete que no es mío.		En casa tengo un machete que no es mío.		
81.			Cheá tika 	Se pintó en mi ropa		Esta camisa tiene manchas.		
				Este perro tiene manchas.		Este perro tiene manchas.		
82.			Gua chid jima ñe'e komida	La comida tiene sal.		La comida tiene sal.		
			¿A chid jima ñe'e kantu?	No le echaste sal a la comida 		La comida no tiene sal.		
83.			Díni comida	¿Le echaste sal a la comida?		La comida está salada.		
84.			Yaduu sopa	Está picante la comida		La sopa tiene chile.		
85.			Snú nuni kutu	Hay agua en la olla		La olla tiene agua.		
			Gua snú nuni kutu	La olla no tiene agua.		La olla no tiene agua.		
86.				¿Dónde tiene Juan el mecate?		¿Dónde tiene Juan el mecate?		
87.				Juan tiene el mecate en la mano.		Juan tiene el mecate en la mano.		
88.				Juan tiene una piedra en el bolsillo.		Juan tiene una piedra en el bolsillo.		
89.			Bea obe so'ö bi'i	Tengo dos hermanos.		Tengo dos hermanos.		
90.			¿A tabea bi'id bea?	¿Cuántos hermanos tienes?		¿Cuántos hermanos tienes?		
91.				¿Tiene usted jabón para vender?		¿Tiene usted jabón para vender?		
92.			Chito'o inuu ú	Tengo gripa.		Tengo gripa.		
93.			Chito'o inuu ú	Tuve gripa.		Tuve gripa.		
94.			¿A ichad?	¿Tienes frío?		¿Tienes frío?		
95.			Tika 	Sí.		Sí.		
			Gua 	No.		No.		
96.			Ya'a tï	Tengo dolor de cabeza.		Tengo dolor de cabeza.		
97.			Nujinu	Tengo prisa.		Tengo prisa.		
98.			Kuiku	Tengo hambre.		Tengo hambre.		
			Yàka	Tengo sed.		Tengo sed.		
			Ne kuyadu	Quiero dormir		Tengo sueño.		
			Dànti	Tengo flojera.		Tengo flojera.		
99.			Bea ntiñu ñe'ë	Tengo trabajo.		Tengo trabajo.		
100.			Kuenó	Tengo pena.		Tengo pena.		
101.			Gua kuenód	No tengas pena		Soy penoso.		
102.			Snú núni no kutum	En la olla hay frijoles.		En la olla hay frijoles.		
			Snú nuni no kutum	En la olla hay agua.		En la olla hay agua.		
			Kutea núni no kutum	En la olla no hay frijoles.		En la olla no hay frijoles.		
			Kutea nuni no kutum	En la olla no hay agua.		En la olla no hay agua.		
103.			¿A snú núni no kutum?	¿Hay frijoles en la olla?		¿Hay frijoles en la olla?		
104.			¿A kutea núni no kutum?	¿No hay frijoles en la olla?		¿No hay frijoles en la olla?		
105.			Beaka	Todavía hay		Si hay.		
106.			Gua, kutea	No, ya no hay		No, no hay.		
107.			¿A bea itcheanu kuete?	¿Hay venados en el campo?		¿En el monte no hay venados?		
108.			No ba'a bea iña	En la casa hay gente.		En la casa hay gente.		
			No ba'a gua iña	En la casa no hay gente.		En la casa no hay gente.		
109.				En la casa no había gente.		En la casa no había gente.		
110.			Mu'u bea kùù yuntu 	Aquí hay cuatro tortillas.		Aquí hay cuatro tortillas.		
111.			Mu'u bea yuntu	Aquí hay una tortilla.		Aquí hay una tortilla.		
112.			Mu'u bea nuni	Aquí hay agua.		Aquí hay agua.		
			Gua nuni	Aquí no hay agua.		Aquí no hay agua.		
113.			Mí bea ti'ö	Allá hay árboles.		Allá hay árboles.		
114.			Bea kaá ñoo*	Hay una epidemia en el pueblo.		Hay una epidemia en el pueblo.		
115.			Ño baku bea n'íba	En mi pueblo hay mercado.		En mi pueblo hay mercado.		
116.			Ño kon bea ba'a eatea	En ese pueblo hay casas grandes.		En ese pueblo hay casas grandes.		
117.				El gorrión cabeza colorada es un pájaro.		El gorrión cabeza colorada es un pájaro.		
118.				Ese pájaro es un zanate.		Ese pájaro es un zanate.		
118.				Ese pájaro no es un zanate.		Ese pájaro no es un zanate.		
119.			¿Daë yada chó?	¿Qué pájaro es ese?		¿Qué pájaro es ese?		
120.			Juó no'ös	Juan es maestro.		Juan es maestro.		
			Juó gua no'ös	Juan no es maestro.		Juan no es maestro.		
121.				Juan es el maestro.		Juan es el maestro.		
				Juan no es el maestro.		Juan no es el maestro.		
122.			¿A du'u no'ö?	¿Quién es maestro?		¿Quién es maestro?		
123.			¿Du'u no'öm?	¿Quién es el maestro?		¿Quién es el maestro?		
124.			Juó daya	Juan es hijo mío.		Juan es hijo mío.		
			Juó daya so'ö	Juan es hijo mío.		Juan es hijo mío.		
125.				¿Qué es Juan?		¿Qué es Juan?		
127.			¿A no'ö Juó?	¿Juan es maestro?		¿Juan es maestro?		
128.			Daya chë Manuel ú	Yo soy hijo de don Manuel.		Yo soy hijo de don Manuel.		
			Gua daya chë Manuel ú	Yo no soy hijo de don Manuel.		Yo no soy hijo de don Manuel.		
129.			Juó kúeas	Juan es brujo.		Juan es brujo.		
130.				Juan se volvió brujo.		Juan se volvió brujo.		
131.			Kuetíchi kon ñe'ë	Esa canasta es mía.		Esa canasta es mía.		
			Kuetíchi kon ñe'ed	Esa canasta es tuya.		Esa canasta es tuya.		
			Kuetíchi kon ñe'es	Esa canasta es de él		Esa canasta es de él		
			Kuetíchi kon gua ñe'ed	Esa canasta no es tuya.		Esa canasta no es tuya.		
			Kuetíchi kon gua ñe'es	Esa canasta no es de él.		Esa canasta no es de él.		
			Kuetíchi kon gua ñe'en	Esa canasta no es nuestra.	(exclusivo)	Esa canasta no es nuestra. (exclusivo)		
			Kuetíchi kun gua ñe'en	Esta canasta no es nuestra.	(inclusivo)	Esa canasta no es nuestra. (inclusivo)		
			Kuetíchi kon gua ñe'ën	Esa canasta no es de ustedes		Esa canasta no es de ustedes		
			Kuetíchi kon ñe'en	Esa canasta es nuestra.	(exclusivo)	Esa canasta es nuestra. (exclusivo)		
				Esa canasta es nuestra	(inclusivo)	Esa canasta es nuestra (inclusivo)		
			Kuetíchi kon ñe'ën	Esa canasta es de ustedes.		Esa canasta es de ustedes.		
			Kuetíchi kon ñe'ey	Esa canasta es de ellos.		Esa canasta es de ellos.		
			Kuetíchi kon gua ñe'ë	Esa canasta no es mía.		Esa canasta no es mía.		
			Kuetíchi kon gua ñe'ey	Esa canasta no es de ellos.		Esa canasta no es de ellos.		
132.				Mi canasta es esa.		Mi canasta es esa.		
				Mi canasta no es esa.		Mi canasta no es esa.		
133.			¿Ñe'e du'u kuetíchi ko?	¿De quién es esa canasta?		¿De quién es esa canasta?		
134.			¿A ñe'ed kuetíchi ko?	¿Es tuya esa canasta?		¿Es tuya esa canasta?		
			¿A gua ñe'ed kuetíchi ko?	¿No es tuya esa canasta?		¿No es tuya esa canasta?		
135.				¿Esa canasta es la tuya?		¿Esa canasta es la tuya?		
136.			Chu yuni	Este es el camino	(que va al pueblo)	Este es el camino (que va al pueblo)		
137.			Juó ñe'e Jidiba so'ö	Juan es de la Mixteca		Juan es de Huamantla.		
138.			¿Ñe'e ti Juó?	¿De dónde es Juan?		¿De dónde es Juan?		
139.			¿Ñe'e ti dí?	¿De dónde eres?		¿De dónde eres?		
140.				¿Quién es de Huamantla?		¿Quién es de Huamantla?		
141.			Juó ama so'ö nda	Juan es un hombre bueno.		Juan es un hombre bueno.		
142.				Juan va a ser topil		Juan va a ser topil		
143.			¿A dae kubi Juó?	¿Qué va a ser Juan?		¿Qué va a ser Juan?		
144.				Juan fue topil el año pasado.		Juan fue topil el año pasado.		
145.				¿Cuándo fue topil Juan?		¿Cuándo fue topil Juan?		
146.				¿Qué fue Juan el año pasado?		¿Qué fue Juan el año pasado?		
147.			Juó so'ös	Juan es hombre.		Juan es hombre.		
148.			Ta Marian ndatata	María es mujer.		María es mujer.		
149.			Ú so'ö ú	Yo soy hombre.		Yo soy hombre.		
150.			Ú ndata ú	Yo soy mujer.		Yo soy mujer.		
151.			¿Dae comida cho?	¿Qué es esa comida?		¿Qué es esa comida?		
152.			Comida kun yuta kuchi	Esta comida es carne de puerco.		Esta comida es carne de puerco.		
153.			Ún yunu	Yo soy joven		Yo soy el más joven.		
			Ún kutea yunu	Yo ya no soy joven		Yo no soy el más joven.		
154.				El que está sentado es Juan.	(hombre) 	El (hombre) que está sentado es Juan. 		
155.			Juó beajukus	Juan es el que está sentado.	(Contestación a:  ¿Cuál es Juan?)	Juan es el que está sentado. (Contestación a: ¿Cuál es Juan?)		
156.				Juan es el que está sentado.	(Contestación a:  ¿Pedro es el que está sentado?)	Juan es el que está sentado. (Contestación a: ¿Pedro es el que está sentado?)		
157.				Ixtenco es cabecera municipal.		Ixtenco es cabecera municipal.		
158.			Eduviges chi jobe ndata	Eduviges es nombre de mujer.		Eduviges es nombre de mujer.		
159.				El hombre que saló es al que conozco.		El hombre que saló es al que conozco.		
				El que salió es al que conozco.		El que salió es al que conozco.		
160.			¿Dae cho?	¿Qué es eso?	(señalando algo que no se alcanza a distinguir)	¿Qué es eso? (señalando algo que no se alcanza a distinguir)		
161.				Es un perro.		Es un perro.		
162.				El año que viene mi hijo ya va a ser hombre.		El año que viene mi hijo ya va a ser hombre.		
163.				Juana se parece a María.		Juana se parece a María.		
164.			Ta juana ninubita chakuta 	Juana se parece a su madre.		Juana se parece a su madre.		
165.			Yadan ninubis intï	Su hijo se parece a usted		Usted y su hijo se parecen mucho.		
166.			Juó a niku injobes	Juan parece viejo.		Juan parece viejo.		
167.				Juan parece maestro.		Juan parece maestro.		
168.			¿A taka jobed?	¿Cómo te llamas?		¿Cómo te llamas?		
169.			Ún jobe Pedro	Me llamo Pedro.		Me llamo Pedro.		
170.			Icha	Hace calor.		Hace calor.		
			Ínuu	Hace frío.		Hace frío.		
		T.l:Corre viento	Jeanu yuna	Hace viento.		Hace viento.		
			Yòò*	Hace sol.		Hace sol.		
171.			Jè kubi	Está lloviendo.		Está lloviendo.		
172.			Kuè kubi 	Va a llover.		Va a llover.		
173.			¿Nuku dae jidiñ yuntu?	¿Con qué se hacen las tortillas?		¿Con qué se hacen las tortillas?		
174.			Nuku beayee jidiñ yuntu	Las tortillas se hacen con nixtamal.		Las tortillas se hacen con nixtamal.		
175.			¿A taka kadi ko'ö ñoo bakud?	¿Cómo puedo ir a tu pueblo?		¿Cómo se va a tu pueblo?		
176.			¿A ti jinukuy chiadi?	¿Dónde venden azucar?		¿Dónde venden azucar?		
177.			Mi ndenó jinikuy	Ahí venden muchas cosas.		Ahí venden muchas cosas.		
178.				Nombraron a Juan presidente municipal.		Nombraron a Juan presidente municipal.		
179.			Juó ko'os chis tonto ú	Juan me llamó tonto.		Juan me llamó tonto.		
180.			Kayadu	Estoy durmiendo.		Estoy durmiendo.		
				Estás durmiendo.		Estás durmiendo.		
			Kayadus/ kayaduta	Está durmiendo.		Está durmiendo.		
			Kadayu'uu	Estamos durmiendo	(exclusivo)	Estamos durmiendo (exclusivo)		
				Estamos durmiendo	(inclusivo)	Estamos durmiendo (inclusivo)		
			kayadun/Insë kayadun	Están durmiendo ustedes.		Están durmiendo ustedes.		
				Están durmiendo ellos.		Están durmiendo ellos.		
181.			Gua kayadus/ gua kayaduta	No está durmiendo.		No está durmiendo.		
182.			Lï jiyaduy	Duerme poco.		Duerme poco.		
				Duerme mucho.		Duerme mucho.		
183.			Jiyadu jobe	De día yo duermo		Duerme de día.		
			Yeabean jiyadus chi jobe	Duerme mucho de día.		Duerme mucho de día.		
			Yeabean jiyadus chi màà	Duerme mucho de noche.		Duerme mucho de noche.		
			Gua jiyadus chi jobe	No duerme de día.		No duerme de día.		
			Gua diyadus chi màà	No duerme de noche.		No duerme de noche.		
184.			Kayadu silïm	El niño se durmió.		El niño se durmió.		
185.			Kayadu silïm 	El niño se está durmiendo.		El niño se está durmiendo.		
186.			Ko'ö kuyadu silï	El niño se ve a dormir.		El niño se ve a dormir.		
187.		 	Nauné kayadu silïm	El niño se durmió de nuevo.		El niño se durmió de nuevo.		
188.			Gua yeabea kayadu silï yabi	El niño no durmió bien anodche.		El niño no durmió bien anodche.		
189.			Tatlin gua kayaku silí no camión mi	El niño casi se durmió en el camión.		El niño casi se durmió en el camión.		
190.				El pez muerto está flotando en el agua.		El pez muerto está flotando en el agua.		
191.				La madera flota en el agua.		La madera flota en el agua.		
192.				Ella siempre me pide tortillas.		Ella siempre me pide tortillas.		
				Ella siempre te pide tortillas.		Ella siempre te pide tortillas.		
				Ella siempre le pide tortillas a él.		Ella siempre le pide tortillas a él.		
				Ella siempre nos pide tortillas.	(exclusivo)	Ella siempre nos pide tortillas. (exclusivo)		
				Ella siempre nos pide tortillas.	(inclusivo)	Ella siempre nos pide tortillas. (inclusivo)		
				Ella siempre les pide tortillas.	(a ustedes)	Ella siempre les pide tortillas. (a ustedes)		
				Ella siempre les pide tortillas.	(a ellos)	Ella siempre les pide tortillas. (a ellos)		
